 gmid0.5         idw0.5         
 2.79699046e+01  2.36650964e-06 
 2.80253039e+01  3.13112760e-06 
 2.80795402e+01  4.14506449e-06 
 2.81326943e+01  5.49028625e-06 
 2.81848278e+01  7.27590958e-06 
 2.82359855e+01  9.64725770e-06 
 2.82861974e+01  1.27979550e-05 
 2.83354795e+01  1.69860862e-05 
 2.83838331e+01  2.25557921e-05 
 2.84312433e+01  2.99661397e-05 
 2.84776765e+01  3.98297253e-05 
 2.85230754e+01  5.29643028e-05 
 2.85673532e+01  7.04618393e-05 
 2.86103843e+01  9.37808866e-05 
 2.86519926e+01  1.24870129e-04 
 2.86919350e+01  1.66333594e-04 
 2.87298790e+01  2.21651489e-04 
 2.87653738e+01  2.95475171e-04 
 2.87978104e+01  3.94020754e-04 
 2.88263695e+01  5.25593512e-04 
 2.88499522e+01  7.01285042e-04 
 2.88670899e+01  9.35897291e-04 
 2.88758259e+01  1.24916210e-03 
 2.88735660e+01  1.66734146e-03 
 2.88568903e+01  2.22531036e-03 
 2.88213268e+01  2.96923816e-03 
 2.87610940e+01  3.95998752e-03 
 2.86688369e+01  5.27733239e-03 
 2.85354108e+01  7.02503777e-03 
 2.83498156e+01  9.33672217e-03 
 2.80994343e+01  1.23822136e-02 
 2.77707711e+01  1.63738073e-02 
 2.73508531e+01  2.15714788e-02 
 2.68292913e+01  2.82858205e-02 
 2.62006838e+01  3.68774489e-02 
 2.54666927e+01  4.77520558e-02 
 2.46369993e+01  6.13511694e-02 
 2.37286218e+01  7.81397775e-02 
 2.27637053e+01  9.85927741e-02 
 2.17664790e+01  1.23182348e-01 
 2.07602904e+01  1.52367907e-01 
 1.97654074e+01  1.86589261e-01 
 1.87978493e+01  2.26262940e-01 
 1.78691420e+01  2.71781025e-01 
 1.69867038e+01  3.23511682e-01 
 1.61545539e+01  3.81800674e-01 
 1.53741059e+01  4.46973294e-01 
 1.46449045e+01  5.19336354e-01 
 1.39652411e+01  5.99180057e-01 
 1.33326302e+01  6.86779627e-01 
 1.27441602e+01  7.82396705e-01 
 1.21967397e+01  8.86280508e-01 
 1.16872628e+01  9.98668777e-01 
 1.12127148e+01  1.11978857e+00 
 1.07702351e+01  1.24985689e+00 
 1.03571520e+01  1.38908125e+00 
 9.97099605e+00  1.53766008e+00 
 9.60950251e+00  1.69578314e+00 
 9.27060474e+00  1.86363183e+00 
 8.95242349e+00  2.04137948e+00 
 8.65325369e+00  2.22919159e+00 
 8.37155029e+00  2.42722608e+00 
 8.10591402e+00  2.63563346e+00 
 7.85507770e+00  2.85455703e+00 
 7.61789334e+00  3.08413307e+00 
 7.39332023e+00  3.32449096e+00 
 7.18041404e+00  3.57575337e+00 
 6.97831699e+00  3.83803636e+00 
 6.78624894e+00  4.11144953e+00 
 6.60349945e+00  4.39609613e+00 
 6.42942069e+00  4.69207321e+00 
 6.26342103e+00  4.99947168e+00 
 6.10495945e+00  5.31837644e+00 
 5.95354044e+00  5.64886649e+00 
 5.80870956e+00  5.99101497e+00 
 5.67004940e+00  6.34488933e+00 
 5.53717604e+00  6.71055135e+00 
 5.40973584e+00  7.08805723e+00 
 5.28740263e+00  7.47745769e+00 
 5.16987516e+00  7.87879802e+00 
 5.05687481e+00  8.29211816e+00 
 4.94814360e+00  8.71745277e+00 
 4.84344230e+00  9.15483127e+00 
 4.74254884e+00  9.60427794e+00 
 4.64525683e+00  1.00658120e+01 
 4.55137422e+00  1.05394475e+01 
 4.46072209e+00  1.10251936e+01 
 4.37313360e+00  1.15230545e+01 
 4.28845299e+00  1.20330297e+01 
 4.20653470e+00  1.25551136e+01 
 4.12724257e+00  1.30892959e+01 
 4.05044911e+00  1.36355618e+01 
 3.97603482e+00  1.41938916e+01 
 3.90388764e+00  1.47642611e+01 
 3.83390232e+00  1.53466416e+01 
 3.76597998e+00  1.59409998e+01 
 3.70002763e+00  1.65472980e+01 
 3.63595774e+00  1.71654942e+01 
 3.57368789e+00  1.77955421e+01 
 3.51314036e+00  1.84373909e+01 
 3.45424185e+00  1.90909859e+01 
 3.39692317e+00  1.97562682e+01 
 3.34111898e+00  2.04331748e+01 
 3.28676749e+00  2.11216386e+01 
 3.23381028e+00  2.18215888e+01 
 3.18219204e+00  2.25329506e+01 
 3.13186041e+00  2.32556455e+01 
 3.08276576e+00  2.39895913e+01 
 3.03486106e+00  2.47347021e+01 
 2.98810165e+00  2.54908886e+01 
 2.94244519e+00  2.62580580e+01 
 2.89785142e+00  2.70361139e+01 
 2.85428212e+00  2.78249571e+01 
 2.81170093e+00  2.86244847e+01 
 2.77007327e+00  2.94345911e+01 
 2.72936623e+00  3.02551675e+01 
 2.68954847e+00  3.10861021e+01 
 2.65059013e+00  3.19272804e+01 
 2.61246275e+00  3.27785852e+01 
 2.57513919e+00  3.36398967e+01 
 2.53859354e+00  3.45110923e+01 
 2.50280108e+00  3.53920474e+01 
 2.46773821e+00  3.62826347e+01 
 2.43338234e+00  3.71827248e+01 
 2.39971193e+00  3.80921862e+01 
 2.36670632e+00  3.90108854e+01 
