 gmid0.5         ft0.5          
 5.41900094e-01  1.52912116e+10 
 5.37449794e-01  1.52376392e+10 
 5.33047440e-01  1.51839870e+10 
 5.28692280e-01  1.51302588e+10 
 5.24383575e-01  1.50764581e+10 
 5.20120603e-01  1.50225885e+10 
 5.15902656e-01  1.49686535e+10 
 5.11729037e-01  1.49146565e+10 
 5.07599067e-01  1.48606007e+10 
 5.03512077e-01  1.48064894e+10 
 4.99467414e-01  1.47523258e+10 
 4.95464436e-01  1.46981130e+10 
 4.91502514e-01  1.46438541e+10 
 4.87581031e-01  1.45895520e+10 
 4.83699381e-01  1.45352096e+10 
 4.79856973e-01  1.44808299e+10 
 4.76053223e-01  1.44264155e+10 
 4.72287561e-01  1.43719693e+10 
 4.68559427e-01  1.43174940e+10 
 4.64868272e-01  1.42629921e+10 
 4.61213557e-01  1.42084662e+10 
 4.57594753e-01  1.41539190e+10 
 4.54011340e-01  1.40993527e+10 
 4.50462811e-01  1.40447700e+10 
 4.46948664e-01  1.39901730e+10 
 4.43468410e-01  1.39355643e+10 
 4.40021567e-01  1.38809460e+10 
 4.36607663e-01  1.38263204e+10 
 4.33226233e-01  1.37716897e+10 
 gmid1           ft1            
 2.47870058e+01  2.04694014e+01 
 2.52440700e+01  2.69300189e+01 
 2.56216258e+01  3.54526753e+01 
 2.59341933e+01  4.67022048e+01 
 2.61942470e+01  6.15597965e+01 
 2.64122293e+01  8.11940094e+01 
 2.65967168e+01  1.07155283e+02 
 2.67546505e+01  1.41501774e+02 
 2.68915867e+01  1.86966972e+02 
 2.70119340e+01  2.47183078e+02 
 2.71191686e+01  3.26978803e+02 
 2.72160173e+01  4.32776571e+02 
 2.73046115e+01  5.73122521e+02 
 2.73866123e+01  7.59394000e+02 
 2.74633113e+01  1.00674437e+03 
 2.75357120e+01  1.33536523e+03 
 2.76045934e+01  1.77217339e+03 
 2.76705602e+01  2.35306637e+03 
 2.77340817e+01  3.12593907e+03 
 2.77955229e+01  4.15472021e+03 
 2.78551677e+01  5.52477490e+03 
 2.79132374e+01  7.35013835e+03 
 2.79699046e+01  9.78320448e+03 
 2.80253039e+01  1.30277065e+04 
 2.80795402e+01  1.73561127e+04 
 2.81326943e+01  2.31329456e+04 
 2.81848278e+01  3.08460470e+04 
 2.82359855e+01  4.11485031e+04 
 2.82861974e+01  5.49148696e+04 
 2.83354795e+01  7.33165728e+04 
 2.83838331e+01  9.79230121e+04 
 2.84312433e+01  1.30837086e+05 
 2.84776765e+01  1.74876767e+05 
 2.85230754e+01  2.33818168e+05 
 2.85673532e+01  3.12720542e+05 
 2.86103843e+01  4.18360058e+05 
 2.86519926e+01  5.59807351e+05 
 2.86919350e+01  7.49193812e+05 
 2.87298790e+01  1.00272346e+06 
 2.87653738e+01  1.34200016e+06 
 2.87978104e+01  1.79575255e+06 
 2.88263695e+01  2.40204679e+06 
 2.88499522e+01  3.21107426e+06 
 2.88670899e+01  4.28857258e+06 
 2.88758259e+01  5.71986576e+06 
 2.88735660e+01  7.61435977e+06 
 2.88568903e+01  1.01100690e+07 
