 gmid0.5         gain0.5        
 5.07599067e-01  1.52010363e+00 
 5.03512077e-01  1.50007509e+00 
 4.99467414e-01  1.48038860e+00 
 4.95464436e-01  1.46103672e+00 
 4.91502514e-01  1.44201218e+00 
 4.87581031e-01  1.42330791e+00 
 4.83699381e-01  1.40491700e+00 
 4.79856973e-01  1.38683275e+00 
 4.76053223e-01  1.36904861e+00 
 4.72287561e-01  1.35155820e+00 
 4.68559427e-01  1.33435532e+00 
 4.64868272e-01  1.31743391e+00 
 4.61213557e-01  1.30078806e+00 
 4.57594753e-01  1.28441202e+00 
 4.54011340e-01  1.26830018e+00 
 4.50462811e-01  1.25244707e+00 
 4.46948664e-01  1.23684736e+00 
 4.43468410e-01  1.22149585e+00 
 4.40021567e-01  1.20638747e+00 
 4.36607663e-01  1.19151726e+00 
 4.33226233e-01  1.17688040e+00 
 gmid1           gain1          
 2.47870058e+01  1.33087648e+02 
 2.52440700e+01  1.41099448e+02 
 2.56216258e+01  1.47922123e+02 
 2.59341933e+01  1.53608036e+02 
 2.61942470e+01  1.58260946e+02 
 2.64122293e+01  1.62011226e+02 
 2.65967168e+01  1.64996547e+02 
 2.67546505e+01  1.67348911e+02 
 2.68915867e+01  1.69187266e+02 
 2.70119340e+01  1.70614295e+02 
 2.71191686e+01  1.71715937e+02 
 2.72160173e+01  1.72562497e+02 
 2.73046115e+01  1.73210513e+02 
 2.73866123e+01  1.73704865e+02 
 2.74633113e+01  1.74080826e+02 
 2.75357120e+01  1.74365906e+02 
 2.76045934e+01  1.74581432e+02 
 2.76705602e+01  1.74743855e+02 
 2.77340817e+01  1.74865822e+02 
 2.77955229e+01  1.74957019e+02 
 2.78551677e+01  1.75024845e+02 
 2.79132374e+01  1.75074938e+02 
 2.79699046e+01  1.75111580e+02 
 2.80253039e+01  1.75138013e+02 
 2.80795402e+01  1.75156682e+02 
 2.81326943e+01  1.75169413e+02 
 2.81848278e+01  1.75177561e+02 
 2.82359855e+01  1.75182105e+02 
 2.82861974e+01  1.75183727e+02 
 2.83354795e+01  1.75182867e+02 
 2.83838331e+01  1.75179752e+02 
 2.84312433e+01  1.75174418e+02 
 2.84776765e+01  1.75166709e+02 
 2.85230754e+01  1.75156263e+02 
 2.85673532e+01  1.75142482e+02 
 2.86103843e+01  1.75124486e+02 
 2.86519926e+01  1.75101030e+02 
 2.86919350e+01  1.75070412e+02 
 2.87298790e+01  1.75030327e+02 
 2.87653738e+01  1.74977685e+02 
 2.87978104e+01  1.74908362e+02 
 2.88263695e+01  1.74816889e+02 
 2.88499522e+01  1.74696049e+02 
 2.88670899e+01  1.74536369e+02 
 2.88758259e+01  1.74325522e+02 
 2.88735660e+01  1.74047628e+02 
 2.88568903e+01  1.73682509e+02 
 2.88213268e+01  1.73205005e+02 
 2.87610940e+01  1.72584526e+02 
 2.86688369e+01  1.71785139e+02 
 2.85354108e+01  1.70766611e+02 
 2.83498156e+01  1.69486847e+02 
 2.80994343e+01  1.67906101e+02 
 2.77707711e+01  1.65992896e+02 
 2.73508531e+01  1.63730929e+02 
 2.68292913e+01  1.61125368e+02 
 2.62006838e+01  1.58206495e+02 
 2.54666927e+01  1.55028991e+02 
 2.46369993e+01  1.51666435e+02 
 2.37286218e+01  1.48202313e+02 
 2.27637053e+01  1.44719965e+02 
 2.17664790e+01  1.41293952e+02 
 2.07602904e+01  1.37984424e+02 
 1.97654074e+01  1.34834850e+02 
 1.87978493e+01  1.31872496e+02 
 1.78691420e+01  1.29110659e+02 
 1.69867038e+01  1.26551667e+02 
 1.61545539e+01  1.24189930e+02 
 1.53741059e+01  1.22014630e+02 
 1.46449045e+01  1.20011869e+02 
 1.39652411e+01  1.18166276e+02 
 1.33326302e+01  1.16462133e+02 
 1.27441602e+01  1.14884109e+02 
 1.21967397e+01  1.13417717e+02 
 1.16872628e+01  1.12049554e+02 
 1.12127148e+01  1.10767409e+02 
 1.07702351e+01  1.09560273e+02 
 1.03571520e+01  1.08418297e+02 
 9.97099605e+00  1.07332718e+02 
 9.60950251e+00  1.06295761e+02 
 9.27060474e+00  1.05300546e+02 
 8.95242349e+00  1.04340984e+02 
 8.65325369e+00  1.03411688e+02 
 8.37155029e+00  1.02507883e+02 
 8.10591402e+00  1.01625330e+02 
 7.85507770e+00  1.00760248e+02 
 7.61789334e+00  9.99092586e+01 
 7.39332023e+00  9.90693215e+01 
 7.18041404e+00  9.82376894e+01 
 6.97831699e+00  9.74118632e+01 
 6.78624894e+00  9.65895543e+01 
 6.60349945e+00  9.57686519e+01 
 6.42942069e+00  9.49471957e+01 
 6.26342103e+00  9.41233523e+01 
 6.10495945e+00  9.32953956e+01 
 5.95354044e+00  9.24616914e+01 
 5.80870956e+00  9.16206846e+01 
 5.67004940e+00  9.07708900e+01 
 5.53717604e+00  8.99108859e+01 
 5.40973584e+00  8.90393099e+01 
 5.28740263e+00  8.81548575e+01 
 5.16987516e+00  8.72562831e+01 
 5.05687481e+00  8.63424023e+01 
 4.94814360e+00  8.54120968e+01 
 4.84344230e+00  8.44643206e+01 
 4.74254884e+00  8.34981070e+01 
 4.64525683e+00  8.25125781e+01 
 4.55137422e+00  8.15069535e+01 
 4.46072209e+00  8.04805610e+01 
 4.37313360e+00  7.94328470e+01 
 4.28845299e+00  7.83633865e+01 
 4.20653470e+00  7.72718940e+01 
 4.12724257e+00  7.61582323e+01 
 4.05044911e+00  7.50224217e+01 
 3.97603482e+00  7.38646470e+01 
 3.90388764e+00  7.26852634e+01 
 3.83390232e+00  7.14848008e+01 
 3.76597998e+00  7.02639654e+01 
 3.70002763e+00  6.90236400e+01 
 3.63595774e+00  6.77648811e+01 
 3.57368789e+00  6.64889143e+01 
 3.51314036e+00  6.51971267e+01 
 3.45424185e+00  6.38910575e+01 
 3.39692317e+00  6.25723858e+01 
 3.34111898e+00  6.12429165e+01 
 3.28676749e+00  5.99045649e+01 
 3.23381028e+00  5.85593386e+01 
 3.18219204e+00  5.72093192e+01 
 3.13186041e+00  5.58566428e+01 
 3.08276576e+00  5.45034795e+01 
 3.03486106e+00  5.31520135e+01 
 2.98810165e+00  5.18044232e+01 
 2.94244519e+00  5.04628615e+01 
 2.89785142e+00  4.91294375e+01 
 2.85428212e+00  4.78061995e+01 
 2.81170093e+00  4.64951188e+01 
 2.77007327e+00  4.51980760e+01 
 2.72936623e+00  4.39168485e+01 
 2.68954847e+00  4.26531004e+01 
 2.65059013e+00  4.14083739e+01 
 2.61246275e+00  4.01840831e+01 
 2.57513919e+00  3.89815093e+01 
 2.53859354e+00  3.78017987e+01 
 2.50280108e+00  3.66459614e+01 
 2.46773821e+00  3.55148719e+01 
 2.43338234e+00  3.44092715e+01 
 2.39971193e+00  3.33297718e+01 
 2.36670632e+00  3.22768589e+01 
 2.33434578e+00  3.12508991e+01 
 2.30261140e+00  3.02521453e+01 
 2.27148509e+00  2.92807430e+01 
 2.24094947e+00  2.83367384e+01 
 2.21098792e+00  2.74200852e+01 
 2.18158448e+00  2.65306524e+01 
 2.15272384e+00  2.56682323e+01 
 2.12439128e+00  2.48325473e+01 
 2.09657269e+00  2.40232579e+01 
 2.06925448e+00  2.32399696e+01 
 2.04242360e+00  2.24822400e+01 
 2.01606749e+00  2.17495848e+01 
 1.99017408e+00  2.10414847e+01 
 1.96473171e+00  2.03573906e+01 
 1.93972919e+00  1.96967292e+01 
