 vgt0.5          gmid0.5        
 2.25925222e+00  4.68559427e-01 
 2.26920731e+00  4.64868272e-01 
 2.27916240e+00  4.61213557e-01 
 2.28911750e+00  4.57594753e-01 
 2.29907261e+00  4.54011340e-01 
 2.30902772e+00  4.50462811e-01 
 2.31898283e+00  4.46948664e-01 
 2.32893796e+00  4.43468410e-01 
 2.33889308e+00  4.40021567e-01 
 2.34884821e+00  4.36607663e-01 
 2.35880335e+00  4.33226233e-01 
 vgt1            gmid1          
-6.10469693e-01  2.47870058e+01 
-6.00500795e-01  2.52440700e+01 
-5.90533249e-01  2.56216258e+01 
-5.80567046e-01  2.59341933e+01 
-5.70602163e-01  2.61942470e+01 
-5.60638574e-01  2.64122293e+01 
-5.50676247e-01  2.65967168e+01 
-5.40715141e-01  2.67546505e+01 
-5.30755213e-01  2.68915867e+01 
-5.20796417e-01  2.70119340e+01 
-5.10838702e-01  2.71191686e+01 
-5.00882017e-01  2.72160173e+01 
-4.90926311e-01  2.73046115e+01 
-4.80971530e-01  2.73866123e+01 
-4.71017623e-01  2.74633113e+01 
-4.61064539e-01  2.75357120e+01 
-4.51112229e-01  2.76045934e+01 
-4.41160645e-01  2.76705602e+01 
-4.31209742e-01  2.77340817e+01 
-4.21259475e-01  2.77955229e+01 
-4.11309805e-01  2.78551677e+01 
-4.01360692e-01  2.79132374e+01 
-3.91412099e-01  2.79699046e+01 
-3.81463993e-01  2.80253039e+01 
-3.71516341e-01  2.80795402e+01 
-3.61569114e-01  2.81326943e+01 
-3.51622283e-01  2.81848278e+01 
-3.41675823e-01  2.82359855e+01 
-3.31729708e-01  2.82861974e+01 
-3.21783918e-01  2.83354795e+01 
-3.11838430e-01  2.83838331e+01 
-3.01893226e-01  2.84312433e+01 
-2.91948287e-01  2.84776765e+01 
-2.82003596e-01  2.85230754e+01 
-2.72059139e-01  2.85673532e+01 
-2.62114900e-01  2.86103843e+01 
-2.52170867e-01  2.86519926e+01 
-2.42227026e-01  2.86919350e+01 
-2.32283366e-01  2.87298790e+01 
-2.22339876e-01  2.87653738e+01 
-2.12396546e-01  2.87978104e+01 
-2.02453367e-01  2.88263695e+01 
-1.92510330e-01  2.88499522e+01 
-1.82567427e-01  2.88670899e+01 
-1.72624650e-01  2.88758259e+01 
-1.62681992e-01  2.88735660e+01 
-1.52739446e-01  2.88568903e+01 
-1.42797007e-01  2.88213268e+01 
-1.32854668e-01  2.87610940e+01 
-1.22912425e-01  2.86688369e+01 
-1.12970271e-01  2.85354108e+01 
-1.03028202e-01  2.83498156e+01 
-9.30862137e-02  2.80994343e+01 
-8.31443019e-02  2.77707711e+01 
-7.32024625e-02  2.73508531e+01 
-6.32606918e-02  2.68292913e+01 
-5.33189863e-02  2.62006838e+01 
-4.33773426e-02  2.54666927e+01 
-3.34357577e-02  2.46369993e+01 
-2.34942286e-02  2.37286218e+01 
-1.35527525e-02  2.27637053e+01 
-3.61132685e-03  2.17664790e+01 
 6.33005089e-03  2.07602904e+01 
 1.62713830e-02  1.97654074e+01 
 2.62126718e-02  1.87978493e+01 
 3.61539193e-02  1.78691420e+01 
 4.60951275e-02  1.69867038e+01 
 5.60362982e-02  1.61545539e+01 
 6.59774334e-02  1.53741059e+01 
 7.59185346e-02  1.46449045e+01 
 8.58596035e-02  1.39652411e+01 
 9.58006417e-02  1.33326302e+01 
 1.05741650e-01  1.27441602e+01 
 1.15682631e-01  1.21967397e+01 
 1.25623585e-01  1.16872628e+01 
 1.35564514e-01  1.12127148e+01 
 1.45505419e-01  1.07702351e+01 
 1.55446301e-01  1.03571520e+01 
 1.65387160e-01  9.97099605e+00 
 1.75327999e-01  9.60950251e+00 
 1.85268818e-01  9.27060474e+00 
 1.95209617e-01  8.95242349e+00 
 2.05150399e-01  8.65325369e+00 
 2.15091163e-01  8.37155029e+00 
 2.25031911e-01  8.10591402e+00 
 2.34972644e-01  7.85507770e+00 
 2.44913361e-01  7.61789334e+00 
 2.54854065e-01  7.39332023e+00 
 2.64794755e-01  7.18041404e+00 
 2.74735432e-01  6.97831699e+00 
 2.84676097e-01  6.78624894e+00 
 2.94616750e-01  6.60349945e+00 
 3.04557393e-01  6.42942069e+00 
 3.14498025e-01  6.26342103e+00 
 3.24438647e-01  6.10495945e+00 
 3.34379260e-01  5.95354044e+00 
 3.44319864e-01  5.80870956e+00 
 3.54260459e-01  5.67004940e+00 
 3.64201047e-01  5.53717604e+00 
 3.74141627e-01  5.40973584e+00 
 3.84082201e-01  5.28740263e+00 
 3.94022767e-01  5.16987516e+00 
 4.03963328e-01  5.05687481e+00 
 4.13903882e-01  4.94814360e+00 
 4.23844431e-01  4.84344230e+00 
 4.33784975e-01  4.74254884e+00 
 4.43725514e-01  4.64525683e+00 
 4.53666049e-01  4.55137422e+00 
 4.63606579e-01  4.46072209e+00 
 4.73547106e-01  4.37313360e+00 
 4.83487629e-01  4.28845299e+00 
 4.93428149e-01  4.20653470e+00 
 5.03368666e-01  4.12724257e+00 
 5.13309180e-01  4.05044911e+00 
 5.23249691e-01  3.97603482e+00 
 5.33190201e-01  3.90388764e+00 
 5.43130708e-01  3.83390232e+00 
 5.53071214e-01  3.76597998e+00 
 5.63011718e-01  3.70002763e+00 
